Central Coast (C) (NSW),New South Wales,Major Cities of Australia,86.3%,58.0%," 279,484 "
Central Darling (A),New South Wales,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,451 "
Cessnock (C),New South Wales,Inner Regional Australia,77.0%,42.5%," 47,375 "
Clarence Valley (A),New South Wales,Inner Regional Australia,79.0%,46.0%," 42,953 "
Cobar (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,621 "
Coffs Harbour (C),New South Wales,Inner Regional Australia,78.1%,46.4%," 62,689 "
Coolamon (A),New South Wales,Inner Regional Australia,85.8%,55.5%," 3,477 "
Coonamble (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,075 "
Cootamundra-Gundagai Regional (A),New South Wales,Inner Regional Australia,91.5%,62.4%," 9,187 "
Cowra (A),New South Wales,Inner Regional Australia,88.8%,58.8%," 10,456 "
Cumberland (A),New South Wales,Major Cities of Australia,87.8%,57.8%," 192,534 "
Dubbo Regional (A),New South Wales,Inner Regional Australia,91.7%,64.6%," 42,195 "
Dungog (A),New South Wales,Inner Regional Australia,83.5%,53.2%," 7,623 "
Edward River (A),New South Wales,Inner Regional Australia,58.3%,42.2%," 7,426 "
Eurobodalla (A),New South Wales,Inner Regional Australia,94.5%,66.2%," 32,891 "
Fairfield (C),New South Wales,Major Cities of Australia,88.0%,60.7%," 172,126 "
Federation (A),New South Wales,Inner Regional Australia,89.8%,56.9%," 10,325 "
Forbes (A),New South Wales,Outer Regional Australia,88.5%,63.3%," 7,865 "
Georges River (A),New South Wales,Major Cities of Australia,85.4%,59.4%," 133,798 "
Gilgandra (A),New South Wales,Outer Regional Australia,95.4%,69.0%," 3,346 "
Glen Innes Severn (A),New South Wales,Outer Regional Australia,82.3%,56.7%," 7,359 "
Goulburn Mulwaree (A),New South Wales,Inner Regional Australia,82.3%,52.6%," 25,395 "
Greater Hume Shire (A),New South Wales,Inner Regional Australia,79.6%,46.5%," 8,458 "
Griffith (C),New South Wales,Outer Regional Australia,84.5%,54.7%," 21,512 "
Gunnedah (A),New South Wales,Outer Regional Australia,79.6%,41.2%," 9,949 "
Gwydir (A),New South Wales,Outer Regional Australia,76.7%,47.4%," 4,307 "
Hawkesbury (C),New South Wales,Major Cities of Australia,88.5%,61.8%," 54,071 "
Hay (A),New South Wales,Outer Regional Australia,92.2%,71.0%," 2,422 "
Hilltops (A),New South Wales,Inner Regional Australia,91.3%,59.9%," 14,962 "
Hornsby (A),New South Wales,Major Cities of Australia,>95%,75.1%," 122,259 "
Hunters Hill (A),New South Wales,Major Cities of Australia,85.7%,70.5%," 12,189 "
Inner West (A),New South Wales,Major Cities of Australia,79.4%,62.8%," 171,244 "
Inverell (A),New South Wales,Outer Regional Australia,76.1%,42.0%," 13,454 "
Junee (A),New South Wales,Inner Regional Australia,72.4%,46.9%," 5,520 "
Kempsey (A),New South Wales,Inner Regional Australia,81.0%,46.0%," 24,440 "
Kiama (A),New South Wales,Inner Regional Australia,89.6%,66.5%," 19,363 "
Ku-ring-gai (A),New South Wales,Major Cities of Australia,>95%,78.6%," 101,869 "
Kyogle (A),New South Wales,Inner Regional Australia,75.1%,44.4%," 7,285 "
Lachlan (A),New South Wales,Outer Regional Australia,93.1%,70.7%," 4,668 "
Lake Macquarie (C),New South Wales,Major Cities of Australia,85.4%,54.4%," 167,047 "
Lane Cove (A),New South Wales,Major Cities of Australia,88.7%,71.7%," 32,784 "
Leeton (A),New South Wales,Outer Regional Australia,77.0%,48.5%," 9,024 "
Lismore (C),New South Wales,Inner Regional Australia,74.8%,42.7%," 35,892 "
Lithgow (C),New South Wales,Inner Regional Australia,84.1%,50.9%," 17,865 "
Liverpool (C),New South Wales,Major Cities of Australia,87.6%,60.3%," 176,376 "
Liverpool Plains (A),New South Wales,Outer Regional Australia,78.5%,45.2%," 6,396 "
Lockhart (A),New South Wales,Outer Regional Australia,85.8%,59.8%," 2,585 "
Maitland (C),New South Wales,Major Cities of Australia,82.2%,48.8%," 66,688 "
Mid-Coast (A),New South Wales,Inner Regional Australia,82.8%,53.2%," 79,221 "
Mid-Western Regional (A),New South Wales,Inner Regional Australia,89.8%,61.6%," 19,963 "
Moree Plains (A),New South Wales,Outer Regional Australia,74.4%,49.0%," 10,216 "
Mosman (A),New South Wales,Major Cities of Australia,88.5%,73.2%," 25,604 "
Murray River (A),New South Wales,Inner Regional Australia,>95%,73.0%," 9,910 "
Murrumbidgee (A),New South Wales,Outer Regional Australia,77.6%,47.5%," 3,114 "
Muswellbrook (A),New South Wales,Inner Regional Australia,74.9%,39.5%," 12,673 "
Nambucca (A),New South Wales,Outer Regional Australia,79.7%,50.9%," 16,485 "
Narrabri (A),New South Wales,Outer Regional Australia,83.9%,48.1%," 10,213 "
Narrandera (A),New South Wales,Outer Regional Australia,79.7%,50.5%," 4,651 "
Narromine (A),New South Wales,Outer Regional Australia,92.2%,61.8%," 5,093 "
Newcastle (C),New South Wales,Major Cities of Australia,80.3%,52.6%," 137,452 "
North Sydney (A),New South Wales,Major Cities of Australia,81.3%,64.8%," 65,324 "
Northern Beaches (A),New South Wales,Major Cities of Australia,90.5%,69.4%," 221,234 "
Oberon (A),New South Wales,Inner Regional Australia,85.8%,60.5%," 4,472 "
Orange (C),New South Wales,Inner Regional Australia,93.8%,59.5%," 33,170 "
Parkes (A),New South Wales,Outer Regional Australia,86.7%,60.6%," 11,785 "
Parramatta (C),New South Wales,Major Cities of Australia,89.8%,65.3%," 209,432 "
Penrith (C),New South Wales,Major Cities of Australia,88.3%,59.6%," 167,408 "
Port Macquarie-Hastings (A),New South Wales,Inner Regional Australia,87.4%,58.2%," 70,143 "
Port Stephens (A),New South Wales,Inner Regional Australia,85.8%,56.1%," 60,306 "
Queanbeyan-Palerang Regional (A),New South Wales,Major Cities of Australia,81.7%,53.2%," 48,845 "
Randwick (C),New South Wales,Major Cities of Australia,76.3%,57.3%," 133,377 "
Richmond Valley (A),New South Wales,Inner Regional Australia,74.5%,46.3%," 18,938 "
Ryde (C),New South Wales,Major Cities of Australia,86.1%,65.1%," 110,141 "
Shellharbour (C),New South Wales,Major Cities of Australia,86.4%,56.2%," 58,715 "
Shoalhaven (C),New South Wales,Inner Regional Australia,87.2%,60.2%," 87,725 "
Singleton (A),New South Wales,Inner Regional Australia,79.9%,42.4%," 18,334 "
Snowy Monaro Regional (A),New South Wales,Outer Regional Australia,83.7%,54.1%," 17,214 "
Snowy Valleys (A),New South Wales,Inner Regional Australia,82.5%,52.2%," 11,726 "
Strathfield (A),New South Wales,Major Cities of Australia,86.9%,61.8%," 40,017 "
Sutherland Shire (A),New South Wales,Major Cities of Australia,91.8%,70.8%," 187,018 "
Sydney (C),New South Wales,Major Cities of Australia,69.5%,52.4%," 229,059 "
Tamworth Regional (A),New South Wales,Inner Regional Australia,81.3%,50.2%," 49,648 "
Temora (A),New South Wales,Outer Regional Australia,87.6%,48.1%," 5,095 "
Tenterfield (A),New South Wales,Outer Regional Australia,75.8%,42.4%," 5,553 "
The Hills Shire (A),New South Wales,Major Cities of Australia,>95%,77.1%," 140,271 "
Tweed (A),New South Wales,Major Cities of Australia,76.6%,48.4%," 80,193 "
Upper Hunter Shire (A),New South Wales,Inner Regional Australia,88.9%,59.0%," 11,302 "
Upper Lachlan Shire (A),New South Wales,Inner Regional Australia,89.9%,57.4%," 6,603 "
Uralla (A),New South Wales,Outer Regional Australia,84.0%,57.0%," 4,895 "
Wagga Wagga (C),New South Wales,Inner Regional Australia,82.4%,55.0%," 51,794 "
Walcha (A),New South Wales,Outer Regional Australia,90.4%,69.7%," 2,585 "
Walgett (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 4,688 "
Warren (A),New South Wales,Outer Regional Australia,>95%,68.4%," 2,115 "
Warrumbungle Shire (A),New South Wales,Outer Regional Australia,86.2%,55.3%," 7,566 "
Waverley (A),New South Wales,Major Cities of Australia,80.8%,63.2%," 62,490 "
Weddin (A),New South Wales,Outer Regional Australia,92.8%,63.7%," 3,030 "
Wentworth (A),New South Wales,Outer Regional Australia,77.2%,47.4%," 5,625 "
Willoughby (C),New South Wales,Major Cities of Australia,86.9%,67.7%," 65,599 "
Wingecarribee (A),New South Wales,Inner Regional Australia,90.2%,64.7%," 42,191 "
Wollondilly (A),New South Wales,Inner Regional Australia,87.1%,58.9%," 41,492 "
Wollongong (C),New South Wales,Major Cities of Australia,81.7%,56.4%," 179,317 "
Woollahra (A),New South Wales,Major Cities of Australia,86.1%,72.1%," 50,326 "
Yass Valley (A),New South Wales,Inner Regional Australia,87.1%,56.7%," 13,497 "
Unincorporated NSW,New South Wales,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 801 
Alpine (S),Victoria,Inner Regional Australia,86.7%,58.7%," 10,732 "
Ararat (RC),Victoria,Inner Regional Australia,82.4%,56.2%," 9,944 "
Ballarat (C),Victoria,Inner Regional Australia,83.6%,53.5%," 88,323 "
Banyule (C),Victoria,Major Cities of Australia,82.7%,55.3%," 107,523 "
Bass Coast (S),Victoria,Inner Regional Australia,89.9%,59.4%," 30,332 "
Baw Baw (S),Victoria,Inner Regional Australia,79.0%,50.7%," 42,887 "
Bayside (C),Victoria,Major Cities of Australia,88.3%,62.9%," 87,219 "
Benalla (RC),Victoria,Inner Regional Australia,85.8%,61.2%," 11,824 "
Boroondara (C),Victoria,Major Cities of Australia,82.9%,58.0%," 152,935 "
Brimbank (C),Victoria,Major Cities of Australia,71.9%,38.8%," 171,362 "
Buloke (S),Victoria,Outer Regional Australia,91.5%,64.9%," 5,123 "
Campaspe (S),Victoria,Inner Regional Australia,87.8%,54.3%," 30,917 "
Cardinia (S),Victoria,Major Cities of Australia,78.3%,43.0%," 86,129 "
Casey (C),Victoria,Major Cities of Australia,77.2%,41.3%," 273,232 "
Central Goldfields (S),Victoria,Inner Regional Australia,82.5%,59.4%," 11,110 "
Colac-Otway (S),Victoria,Inner Regional Australia,83.4%,53.2%," 17,696 "
Corangamite (S),Victoria,Inner Regional Australia,87.3%,56.3%," 13,141 "
Darebin (C),Victoria,Major Cities of Australia,69.5%,42.1%," 139,021 "
East Gippsland (S),Victoria,Outer Regional Australia,85.6%,60.0%," 39,596 "
Frankston (C),Victoria,Major Cities of Australia,76.2%,46.0%," 115,844 "
Gannawarra (S),Victoria,Outer Regional Australia,87.1%,55.5%," 8,756 "
Glen Eira (C),Victoria,Major Cities of Australia,80.1%,52.7%," 128,766 "
Glenelg (S),Victoria,Outer Regional Australia,84.8%,54.5%," 16,561 "
Golden Plains (S),Victoria,Inner Regional Australia,83.5%,50.8%," 18,450 "
Greater Bendigo (C),Victoria,Inner Regional Australia,83.8%,56.1%," 95,200 "
Greater Dandenong (C),Victoria,Major Cities of Australia,72.4%,36.3%," 138,053 "
Greater Geelong (C),Victoria,Major Cities of Australia,86.5%,56.5%," 211,830 "
Greater Shepparton (C),Victoria,Inner Regional Australia,84.8%,47.0%," 52,988 "
Hepburn (S),Victoria,Inner Regional Australia,84.8%,60.7%," 13,467 "
Hindmarsh (S),Victoria,Outer Regional Australia,85.9%,54.5%," 4,723 "
Hobsons Bay (C),Victoria,Major Cities of Australia,77.7%,48.4%," 79,604 "
Horsham (RC),Victoria,Outer Regional Australia,83.4%,54.8%," 16,016 "
Hume (C),Victoria,Major Cities of Australia,73.8%,35.1%," 180,782 "
Indigo (S),Victoria,Inner Regional Australia,89.0%,57.7%," 13,733 "
Kingston (C) (Vic.),Victoria,Major Cities of Australia,79.8%,50.3%," 136,655 "
Knox (C),Victoria,Major Cities of Australia,80.3%,49.0%," 135,647 "
Latrobe (C) (Vic.),Victoria,Inner Regional Australia,73.3%,44.9%," 61,811 "
Loddon (S),Victoria,Outer Regional Australia,83.3%,55.7%," 6,339 "
Macedon Ranges (S),Victoria,Inner Regional Australia,90.6%,61.5%," 39,626 "
Manningham (C),Victoria,Major Cities of Australia,82.0%,52.3%," 106,558 "
Mansfield (S),Victoria,Outer Regional Australia,86.7%,53.7%," 7,567 "
Maribyrnong (C),Victoria,Major Cities of Australia,72.5%,44.3%," 79,009 "
Maroondah (C),Victoria,Major Cities of Australia,80.5%,50.4%," 96,377 "
Melbourne (C),Victoria,Major Cities of Australia,64.1%,33.7%," 168,298 "
Melton (C),Victoria,Major Cities of Australia,75.2%,37.9%," 124,611 "
Mildura (RC),Victoria,Outer Regional Australia,77.4%,44.6%," 45,044 "
Mitchell (S),Victoria,Inner Regional Australia,78.4%,46.1%," 36,387 "
Moira (S),Victoria,Inner Regional Australia,87.4%,53.9%," 24,759 "
Monash (C),Victoria,Major Cities of Australia,76.5%,46.1%," 171,519 "
Moonee Valley (C),Victoria,Major Cities of Australia,77.6%,50.0%," 108,789 "
Moorabool (S),Victoria,Major Cities of Australia,83.8%,48.4%," 27,901 "
Moreland (C),Victoria,Major Cities of Australia,70.9%,41.9%," 156,305 "
Mornington Peninsula (S),Victoria,Major Cities of Australia,84.5%,58.4%," 138,719 "
Mount Alexander (S),Victoria,Inner Regional Australia,86.9%,61.4%," 16,789 "
Moyne (S),Victoria,Inner Regional Australia,88.1%,57.1%," 13,498 "
Murrindindi (S),Victoria,Inner Regional Australia,79.9%,50.9%," 12,242 "
Nillumbik (S),Victoria,Major Cities of Australia,88.2%,57.9%," 52,476 "
Northern Grampians (S),Victoria,Inner Regional Australia,87.4%,58.3%," 9,646 "
Port Phillip (C),Victoria,Major Cities of Australia,71.7%,47.5%," 102,175 "
Pyrenees (S),Victoria,Inner Regional Australia,80.8%,55.4%," 6,297 "
Queenscliffe (B),Victoria,Inner Regional Australia,>95%,83.4%," 2,610 "
South Gippsland (S),Victoria,Inner Regional Australia,84.1%,54.2%," 24,475 "
Southern Grampians (S),Victoria,Inner Regional Australia,89.6%,60.6%," 13,285 "
Stonnington (C),Victoria,Major Cities of Australia,75.0%,50.4%," 103,900 "
Strathbogie (S),Victoria,Inner Regional Australia,86.6%,57.4%," 9,174 "
Surf Coast (S),Victoria,Inner Regional Australia,>95%,67.1%," 26,584 "
Swan Hill (RC),Victoria,Outer Regional Australia,89.8%,52.2%," 16,639 "
Towong (S),Victoria,Outer Regional Australia,87.2%,57.9%," 5,068 "
Wangaratta (RC),Victoria,Inner Regional Australia,87.7%,56.0%," 23,818 "
Warrnambool (C),Victoria,Inner Regional Australia,90.5%,59.8%," 28,859 "
Wellington (S),Victoria,Inner Regional Australia,80.1%,55.0%," 36,486 "
West Wimmera (S),Victoria,Outer Regional Australia,83.7%,55.2%," 3,178 "
Whitehorse (C),Victoria,Major Cities of Australia,80.5%,50.4%," 149,611 "
Whittlesea (C),Victoria,Major Cities of Australia,71.7%,37.9%," 180,925 "
Wodonga (C),Victoria,Inner Regional Australia,81.2%,52.2%," 33,295 "
Wyndham (C),Victoria,Major Cities of Australia,82.8%,41.5%," 201,181 "
Yarra (C),Victoria,Major Cities of Australia,70.2%,46.3%," 90,535 "
Yarra Ranges (S),Victoria,Major Cities of Australia,78.2%,46.7%," 129,169 "
Yarriambiack (S),Victoria,Outer Regional Australia,86.2%,61.3%," 5,517 "
Unincorporated Vic,Victoria,Outer Regional Australia,40.6%,19.8%, 768 
Aurukun (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,015 "
Balonne (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,368 "
Banana (S),Queensland,Outer Regional Australia,53.2%,36.2%," 11,003 "
Barcaldine (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,254 "
Barcoo (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 230 
Blackall-Tambo (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,476 "
Boulia (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 336 
Brisbane (C),Queensland,Major Cities of Australia,70.8%,51.4%," 1,033,592 "
Bulloo (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 272 
Bundaberg (R),Queensland,Inner Regional Australia,65.4%,46.2%," 79,061 "
Burdekin (S),Queensland,Outer Regional Australia,62.0%,40.3%," 14,053 "
Burke (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 289 
Cairns (R),Queensland,Outer Regional Australia,66.2%,49.1%," 133,038 "
Carpentaria (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,547 "
Cassowary Coast (R),Queensland,Outer Regional Australia,59.8%,40.6%," 24,343 "
Central Highlands (R) (Qld),Queensland,Outer Regional Australia,46.2%,31.6%," 21,430 "
Charters Towers (R),Queensland,Outer Regional Australia,46.4%,31.4%," 9,384 "
Cherbourg (S),Queensland,Inner Regional Australia,30.0%,18.8%, 841 
Cloncurry (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,437 "
Cook (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,640 "
Croydon (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 216 
Diamantina (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 252 
Doomadgee (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 922 
Douglas (S),Queensland,Outer Regional Australia,63.5%,44.9%," 10,354 "
Etheridge (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 616 
Flinders (S) (Qld),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,209 "
Fraser Coast (R),Queensland,Inner Regional Australia,68.6%,49.7%," 88,940 "
Gladstone (R),Queensland,Inner Regional Australia,54.9%,36.6%," 48,845 "
Gold Coast (C),Queensland,Major Cities of Australia,62.0%,41.7%," 507,632 "
Goondiwindi (R),Queensland,Outer Regional Australia,83.9%,70.2%," 8,385 "
Gympie (R),Queensland,Inner Regional Australia,61.0%,41.1%," 42,934 "
Hinchinbrook (S),Queensland,Outer Regional Australia,73.4%,55.8%," 9,092 "
Hope Vale (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A, 783 
Ipswich (C),Queensland,Major Cities of Australia,59.5%,39.6%," 169,205 "
Isaac (R),Queensland,Outer Regional Australia,35.2%,19.9%," 15,572 "
Kowanyama (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 710 
Livingstone (S),Queensland,Inner Regional Australia,57.3%,40.4%," 30,952 "
Lockhart River (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 560 
Lockyer Valley (R),Queensland,Inner Regional Australia,56.1%,33.5%," 33,721 "
Logan (C),Queensland,Major Cities of Australia,56.1%,34.8%," 257,354 "
Longreach (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,855 "
Mackay (R),Queensland,Inner Regional Australia,57.1%,37.8%," 92,238 "
McKinlay (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 646 
Mapoon (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 252 
Maranoa (R),Queensland,Outer Regional Australia,67.8%,55.5%," 9,851 "
Mareeba (S),Queensland,Outer Regional Australia,54.1%,39.8%," 18,704 "
Moreton Bay (R),Queensland,Major Cities of Australia,66.9%,46.0%," 372,012 "
Mornington (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 875 
Mount Isa (C),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 14,035 "
Murweh (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,371 "
Napranum (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 728 
Noosa (S),Queensland,Major Cities of Australia,70.2%,50.1%," 47,060 "
North Burnett (R),Queensland,Outer Regional Australia,58.7%,43.7%," 8,782 "
Northern Peninsula Area (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,018 "
Palm Island (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,828 "
Paroo (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,254 "
Pormpuraaw (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 581 
Quilpie (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 582 
Redland (C),Queensland,Major Cities of Australia,68.5%,47.4%," 128,912 "
Richmond (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 627 
Rockhampton (R),Queensland,Inner Regional Australia,56.6%,39.5%," 64,482 "
Scenic Rim (R),Queensland,Inner Regional Australia,60.0%,39.2%," 35,027 "
Somerset (R),Queensland,Inner Regional Australia,60.3%,41.6%," 20,963 "
South Burnett (R),Queensland,Inner Regional Australia,56.8%,36.1%," 26,417 "
Southern Downs (R),Queensland,Inner Regional Australia,70.1%,47.7%," 28,960 "
Sunshine Coast (R),Queensland,Major Cities of Australia,67.3%,48.8%," 268,741 "
Tablelands (R),Queensland,Outer Regional Australia,64.8%,50.0%," 20,959 "
Toowoomba (R),Queensland,Inner Regional Australia,66.4%,46.3%," 134,800 "
Torres (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,882 "
Torres Strait Island (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,436 "
Townsville (C),Queensland,Outer Regional Australia,62.7%,47.3%," 156,137 "
Weipa (T),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,180 "
Western Downs (R),Queensland,Outer Regional Australia,55.1%,37.9%," 26,827 "
Whitsunday (R),Queensland,Outer Regional Australia,52.6%,31.7%," 29,012 "
Winton (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 967 
Woorabinda (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A, 679 
Wujal Wujal (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A, 229 
Yarrabah (S),Queensland,Outer Regional Australia,29.8%,16.5%," 1,919 "
Adelaide (C),South Australia,Major Cities of Australia,69.7%,50.7%," 24,015 "
Adelaide Hills (DC),South Australia,Major Cities of Australia,78.1%,59.5%," 32,450 "
Adelaide Plains (DC),South Australia,Inner Regional Australia,52.7%,34.5%," 7,450 "
Alexandrina (DC),South Australia,Inner Regional Australia,69.1%,52.6%," 23,281 "
Anangu Pitjantjatjara (AC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,947 "
Barossa (DC),South Australia,Inner Regional Australia,72.5%,55.0%," 20,392 "
Barunga West (DC),South Australia,Outer Regional Australia,71.7%,57.9%," 2,207 "
Berri and Barmera (DC),South Australia,Outer Regional Australia,65.9%,44.7%," 8,879 "
Burnside (C),South Australia,Major Cities of Australia,82.2%,63.9%," 37,949 "
Campbelltown (C) (SA),South Australia,Major Cities of Australia,67.7%,48.1%," 43,509 "
Ceduna (DC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,730 "
Charles Sturt (C),South Australia,Major Cities of Australia,62.5%,43.1%," 100,321 "
Clare and Gilbert Valleys (DC),South Australia,Inner Regional Australia,71.3%,53.4%," 7,775 "
Cleve (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,443 "
Coober Pedy (DC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,512 "
Copper Coast (DC),South Australia,Outer Regional Australia,67.6%,49.5%," 12,687 "
Elliston (DC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 805 
Flinders Ranges (DC),South Australia,Outer Regional Australia,72.3%,56.0%," 1,418 "
Franklin Harbour (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,076 "
Gawler (T),South Australia,Major Cities of Australia,69.4%,50.4%," 19,974 "
Goyder (DC),South Australia,Outer Regional Australia,58.1%,40.2%," 3,524 "
Grant (DC),South Australia,Outer Regional Australia,18.9%,10.6%," 7,072 "
Holdfast Bay (C),South Australia,Major Cities of Australia,78.5%,60.0%," 32,295 "
Kangaroo Island (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 4,161 "
Karoonda East Murray (DC),South Australia,Outer Regional Australia,56.2%,40.5%, 915 
Kimba (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A, 813 
Kingston (DC) (SA),South Australia,Outer Regional Australia,74.1%,57.0%," 1,982 "
Light (RegC),South Australia,Inner Regional Australia,55.8%,40.3%," 12,222 "
Lower Eyre Peninsula (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 4,679 "
Loxton Waikerie (DC),South Australia,Outer Regional Australia,63.1%,42.0%," 9,682 "
