"Local Government Area data:
Local Government areas range in population size between 100 to 1 million people. LGAs often have varying age and other demographic profiles affecting their coverage rates. LGA population estimates are taken from the latest ABS LGA by age release. 
Note on areas with large remote and very remote populations:
The  process of geocoding addresses in very remote areas and remote areas can lead to artificially low vaccine dose count records in those areas (as addresses cannot be ‘pinpointed’ to a specific client location, and therefore LGA). For vaccine rates relevant to these areas, please consult the weekly SA4 data release from Operation COVIDShield.  SA4 data is generally of larger population regions, so undercounting of doses has less impact on overall coverage rates. 
Methodology underpinning LGA Remoteness classification: 
LGA ‘remoteness’ is calculated by a assigning a modal remoteness value for each LGA, based on where the majority of the population in each LGA live - using 2016 Census meshblock population counts. Remote and Very Remote classifications accord with the same values if using the Modified Monash Model of remoteness.",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Data extracted from AIR - as at 2359hrs on 21 November 2021,,,,,,
LGA 2019 Name of Residence,State of Residence,Remoteness,% Received dose 1,% Received dose 2,LGA Population,
Central Coast (C) (NSW),New South Wales,Major Cities of Australia,>95%,>95%," 279,484 ",
Central Darling (A),New South Wales,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,451 ",
Cessnock (C),New South Wales,Inner Regional Australia,>95%,93.4%," 47,375 ",
Clarence Valley (A),New South Wales,Inner Regional Australia,>95%,91.6%," 42,953 ",
Cobar (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,621 ",
Coffs Harbour (C),New South Wales,Inner Regional Australia,>95%,>95%," 62,689 ",
Coolamon (A),New South Wales,Inner Regional Australia,>95%,>95%," 3,477 ",
Coonamble (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,075 ",
Cootamundra-Gundagai Regional (A),New South Wales,Inner Regional Australia,>95%,>95%," 9,187 ",
Cowra (A),New South Wales,Inner Regional Australia,>95%,>95%," 10,456 ",
Cumberland (A),New South Wales,Major Cities of Australia,>95%,91.8%," 192,534 ",
Dubbo Regional (A),New South Wales,Inner Regional Australia,>95%,>95%," 42,195 ",
Dungog (A),New South Wales,Inner Regional Australia,>95%,>95%," 7,623 ",
Edward River (A),New South Wales,Inner Regional Australia,69.4%,66.5%," 7,426 ",
Eurobodalla (A),New South Wales,Inner Regional Australia,>95%,>95%," 32,891 ",
Fairfield (C),New South Wales,Major Cities of Australia,94.7%,92.0%," 172,126 ",
Federation (A),New South Wales,Inner Regional Australia,>95%,>95%," 10,325 ",
Forbes (A),New South Wales,Outer Regional Australia,>95%,93.5%," 7,865 ",
Georges River (A),New South Wales,Major Cities of Australia,90.5%,88.3%," 133,798 ",
Gilgandra (A),New South Wales,Outer Regional Australia,>95%,>95%," 3,346 ",
Glen Innes Severn (A),New South Wales,Outer Regional Australia,>95%,92.3%," 7,359 ",
Goulburn Mulwaree (A),New South Wales,Inner Regional Australia,>95%,>95%," 25,395 ",
Greater Hume Shire (A),New South Wales,Inner Regional Australia,>95%,94.0%," 8,458 ",
Griffith (C),New South Wales,Outer Regional Australia,>95%,>95%," 21,512 ",
Gunnedah (A),New South Wales,Outer Regional Australia,>95%,94.5%," 9,949 ",
Gwydir (A),New South Wales,Outer Regional Australia,91.9%,87.8%," 4,307 ",
Hawkesbury (C),New South Wales,Major Cities of Australia,>95%,94.7%," 54,071 ",
Hay (A),New South Wales,Outer Regional Australia,>95%,>95%," 2,422 ",
Hilltops (A),New South Wales,Inner Regional Australia,>95%,>95%," 14,962 ",
Hornsby (A),New South Wales,Major Cities of Australia,>95%,>95%," 122,259 ",
Hunters Hill (A),New South Wales,Major Cities of Australia,89.3%,88.0%," 12,189 ",
Inner West (A),New South Wales,Major Cities of Australia,83.3%,81.8%," 171,244 ",
Inverell (A),New South Wales,Outer Regional Australia,>95%,89.5%," 13,454 ",
Junee (A),New South Wales,Inner Regional Australia,84.9%,82.5%," 5,520 ",
Kempsey (A),New South Wales,Inner Regional Australia,>95%,92.9%," 24,440 ",
Kiama (A),New South Wales,Inner Regional Australia,>95%,>95%," 19,363 ",
Ku-ring-gai (A),New South Wales,Major Cities of Australia,>95%,>95%," 101,869 ",
Kyogle (A),New South Wales,Inner Regional Australia,94.5%,88.0%," 7,285 ",
Lachlan (A),New South Wales,Outer Regional Australia,>95%,>95%," 4,668 ",
Lake Macquarie (C),New South Wales,Major Cities of Australia,>95%,>95%," 167,047 ",
Lane Cove (A),New South Wales,Major Cities of Australia,93.1%,91.9%," 32,784 ",
Leeton (A),New South Wales,Outer Regional Australia,>95%,93.2%," 9,024 ",
Lismore (C),New South Wales,Inner Regional Australia,94.6%,88.8%," 35,892 ",
Lithgow (C),New South Wales,Inner Regional Australia,92.1%,89.7%," 17,865 ",
Liverpool (C),New South Wales,Major Cities of Australia,94.9%,92.0%," 176,376 ",
Liverpool Plains (A),New South Wales,Outer Regional Australia,94.5%,90.3%," 6,396 ",
Lockhart (A),New South Wales,Outer Regional Australia,>95%,94.6%," 2,585 ",
Maitland (C),New South Wales,Major Cities of Australia,>95%,>95%," 66,688 ",
Mid-Coast (A),New South Wales,Inner Regional Australia,>95%,>95%," 79,221 ",
Mid-Western Regional (A),New South Wales,Inner Regional Australia,>95%,>95%," 19,963 ",
Moree Plains (A),New South Wales,Outer Regional Australia,90.0%,83.5%," 10,216 ",
Mosman (A),New South Wales,Major Cities of Australia,92.2%,90.9%," 25,604 ",
Murray River (A),New South Wales,Inner Regional Australia,>95%,>95%," 9,910 ",
Murrumbidgee (A),New South Wales,Outer Regional Australia,93.2%,88.9%," 3,114 ",
Muswellbrook (A),New South Wales,Inner Regional Australia,>95%,93.5%," 12,673 ",
Nambucca (A),New South Wales,Outer Regional Australia,>95%,93.2%," 16,485 ",
Narrabri (A),New South Wales,Outer Regional Australia,>95%,92.6%," 10,213 ",
Narrandera (A),New South Wales,Outer Regional Australia,>95%,94.0%," 4,651 ",
Narromine (A),New South Wales,Outer Regional Australia,>95%,>95%," 5,093 ",
Newcastle (C),New South Wales,Major Cities of Australia,94.1%,91.7%," 137,452 ",
North Sydney (A),New South Wales,Major Cities of Australia,85.3%,84.0%," 65,324 ",
Northern Beaches (A),New South Wales,Major Cities of Australia,>95%,94.5%," 221,234 ",
Oberon (A),New South Wales,Inner Regional Australia,>95%,93.1%," 4,472 ",
Orange (C),New South Wales,Inner Regional Australia,>95%,>95%," 33,170 ",
Parkes (A),New South Wales,Outer Regional Australia,>95%,93.8%," 11,785 ",
Parramatta (C),New South Wales,Major Cities of Australia,>95%,93.5%," 209,432 ",
Penrith (C),New South Wales,Major Cities of Australia,>95%,93.6%," 167,408 ",
Port Macquarie-Hastings (A),New South Wales,Inner Regional Australia,>95%,>95%," 70,143 ",
Port Stephens (A),New South Wales,Inner Regional Australia,>95%,>95%," 60,306 ",
Queanbeyan-Palerang Regional (A),New South Wales,Major Cities of Australia,>95%,>95%," 48,845 ",
Randwick (C),New South Wales,Major Cities of Australia,81.6%,79.3%," 133,377 ",
Richmond Valley (A),New South Wales,Inner Regional Australia,>95%,89.4%," 18,938 ",
Ryde (C),New South Wales,Major Cities of Australia,92.1%,90.6%," 110,141 ",
Shellharbour (C),New South Wales,Major Cities of Australia,>95%,>95%," 58,715 ",
Shoalhaven (C),New South Wales,Inner Regional Australia,>95%,>95%," 87,725 ",
Singleton (A),New South Wales,Inner Regional Australia,>95%,>95%," 18,334 ",
Snowy Monaro Regional (A),New South Wales,Outer Regional Australia,>95%,94.4%," 17,214 ",
Snowy Valleys (A),New South Wales,Inner Regional Australia,>95%,93.0%," 11,726 ",
Strathfield (A),New South Wales,Major Cities of Australia,92.9%,90.8%," 40,017 ",
Sutherland Shire (A),New South Wales,Major Cities of Australia,>95%,>95%," 187,018 ",
Sydney (C),New South Wales,Major Cities of Australia,75.5%,73.5%," 229,059 ",
Tamworth Regional (A),New South Wales,Inner Regional Australia,>95%,>95%," 49,648 ",
Temora (A),New South Wales,Outer Regional Australia,>95%,94.6%," 5,095 ",
Tenterfield (A),New South Wales,Outer Regional Australia,93.0%,85.4%," 5,553 ",
The Hills Shire (A),New South Wales,Major Cities of Australia,>95%,>95%," 140,271 ",
Tweed (A),New South Wales,Major Cities of Australia,91.1%,85.5%," 80,193 ",
Upper Hunter Shire (A),New South Wales,Inner Regional Australia,>95%,>95%," 11,302 ",
Upper Lachlan Shire (A),New South Wales,Inner Regional Australia,>95%,>95%," 6,603 ",
Uralla (A),New South Wales,Outer Regional Australia,>95%,93.9%," 4,895 ",
Wagga Wagga (C),New South Wales,Inner Regional Australia,>95%,94.4%," 51,794 ",
Walcha (A),New South Wales,Outer Regional Australia,>95%,94.7%," 2,585 ",
Walgett (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 4,688 ",
Warren (A),New South Wales,Outer Regional Australia,>95%,>95%," 2,115 ",
Warrumbungle Shire (A),New South Wales,Outer Regional Australia,>95%,91.3%," 7,566 ",
Waverley (A),New South Wales,Major Cities of Australia,86.4%,84.4%," 62,490 ",
Weddin (A),New South Wales,Outer Regional Australia,>95%,>95%," 3,030 ",
Wentworth (A),New South Wales,Outer Regional Australia,94.4%,89.1%," 5,625 ",
Willoughby (C),New South Wales,Major Cities of Australia,92.3%,90.8%," 65,599 ",
Wingecarribee (A),New South Wales,Inner Regional Australia,>95%,>95%," 42,191 ",
Wollondilly (A),New South Wales,Inner Regional Australia,>95%,93.3%," 41,492 ",
Wollongong (C),New South Wales,Major Cities of Australia,92.4%,90.4%," 179,317 ",
Woollahra (A),New South Wales,Major Cities of Australia,90.2%,88.6%," 50,326 ",
Yass Valley (A),New South Wales,Inner Regional Australia,>95%,>95%," 13,497 ",
Unincorporated NSW,New South Wales,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 801 ,
Alpine (S),Victoria,Inner Regional Australia,>95%,>95%," 10,732 ",
Ararat (RC),Victoria,Inner Regional Australia,>95%,91.8%," 9,944 ",
Ballarat (C),Victoria,Inner Regional Australia,>95%,>95%," 88,323 ",
Banyule (C),Victoria,Major Cities of Australia,93.9%,91.2%," 107,523 ",
Bass Coast (S),Victoria,Inner Regional Australia,>95%,>95%," 30,332 ",
Baw Baw (S),Victoria,Inner Regional Australia,>95%,>95%," 42,887 ",
Bayside (C),Victoria,Major Cities of Australia,>95%,94.4%," 87,219 ",
Benalla (RC),Victoria,Inner Regional Australia,>95%,>95%," 11,824 ",
Boroondara (C),Victoria,Major Cities of Australia,90.5%,88.6%," 152,935 ",
Brimbank (C),Victoria,Major Cities of Australia,92.0%,86.6%," 171,362 ",
Buloke (S),Victoria,Outer Regional Australia,>95%,>95%," 5,123 ",
Campaspe (S),Victoria,Inner Regional Australia,>95%,>95%," 30,917 ",
Cardinia (S),Victoria,Major Cities of Australia,>95%,>95%," 86,129 ",
Casey (C),Victoria,Major Cities of Australia,>95%,94.4%," 273,232 ",
Central Goldfields (S),Victoria,Inner Regional Australia,>95%,>95%," 11,110 ",
Colac-Otway (S),Victoria,Inner Regional Australia,>95%,>95%," 17,696 ",
Corangamite (S),Victoria,Inner Regional Australia,>95%,>95%," 13,141 ",
Darebin (C),Victoria,Major Cities of Australia,82.5%,79.0%," 139,021 ",
East Gippsland (S),Victoria,Outer Regional Australia,>95%,>95%," 39,596 ",
Frankston (C),Victoria,Major Cities of Australia,93.1%,89.2%," 115,844 ",
Gannawarra (S),Victoria,Outer Regional Australia,>95%,>95%," 8,756 ",
Glen Eira (C),Victoria,Major Cities of Australia,90.6%,87.9%," 128,766 ",
Glenelg (S),Victoria,Outer Regional Australia,>95%,>95%," 16,561 ",
Golden Plains (S),Victoria,Inner Regional Australia,>95%,>95%," 18,450 ",
Greater Bendigo (C),Victoria,Inner Regional Australia,>95%,>95%," 95,200 ",
Greater Dandenong (C),Victoria,Major Cities of Australia,93.0%,87.6%," 138,053 ",
Greater Geelong (C),Victoria,Major Cities of Australia,>95%,>95%," 211,830 ",
Greater Shepparton (C),Victoria,Inner Regional Australia,>95%,>95%," 52,988 ",
Hepburn (S),Victoria,Inner Regional Australia,>95%,>95%," 13,467 ",
Hindmarsh (S),Victoria,Outer Regional Australia,>95%,>95%," 4,723 ",
Hobsons Bay (C),Victoria,Major Cities of Australia,90.5%,86.8%," 79,604 ",
Horsham (RC),Victoria,Outer Regional Australia,>95%,>95%," 16,016 ",
Hume (C),Victoria,Major Cities of Australia,>95%,91.8%," 180,782 ",
Indigo (S),Victoria,Inner Regional Australia,>95%,>95%," 13,733 ",
Kingston (C) (Vic.),Victoria,Major Cities of Australia,92.6%,89.6%," 136,655 ",
Knox (C),Victoria,Major Cities of Australia,>95%,92.1%," 135,647 ",
Latrobe (C) (Vic.),Victoria,Inner Regional Australia,>95%,92.0%," 61,811 ",
Loddon (S),Victoria,Outer Regional Australia,>95%,>95%," 6,339 ",
Macedon Ranges (S),Victoria,Inner Regional Australia,>95%,>95%," 39,626 ",
Manningham (C),Victoria,Major Cities of Australia,>95%,92.4%," 106,558 ",
Mansfield (S),Victoria,Outer Regional Australia,>95%,>95%," 7,567 ",
Maribyrnong (C),Victoria,Major Cities of Australia,84.5%,81.2%," 79,009 ",
Maroondah (C),Victoria,Major Cities of Australia,94.0%,91.0%," 96,377 ",
Melbourne (C),Victoria,Major Cities of Australia,76.1%,72.9%," 168,298 ",
Melton (C),Victoria,Major Cities of Australia,>95%,93.9%," 124,611 ",
Mildura (RC),Victoria,Outer Regional Australia,>95%,>95%," 45,044 ",
Mitchell (S),Victoria,Inner Regional Australia,>95%,>95%," 36,387 ",
Moira (S),Victoria,Inner Regional Australia,>95%,>95%," 24,759 ",
Monash (C),Victoria,Major Cities of Australia,89.7%,86.4%," 171,519 ",
Moonee Valley (C),Victoria,Major Cities of Australia,89.2%,86.3%," 108,789 ",
Moorabool (S),Victoria,Major Cities of Australia,>95%,>95%," 27,901 ",
Moreland (C),Victoria,Major Cities of Australia,83.7%,80.3%," 156,305 ",
Mornington Peninsula (S),Victoria,Major Cities of Australia,>95%,>95%," 138,719 ",
Mount Alexander (S),Victoria,Inner Regional Australia,>95%,94.5%," 16,789 ",
Moyne (S),Victoria,Inner Regional Australia,>95%,>95%," 13,498 ",
Murrindindi (S),Victoria,Inner Regional Australia,>95%,93.2%," 12,242 ",
Nillumbik (S),Victoria,Major Cities of Australia,>95%,>95%," 52,476 ",
Northern Grampians (S),Victoria,Inner Regional Australia,>95%,>95%," 9,646 ",
Port Phillip (C),Victoria,Major Cities of Australia,80.5%,77.9%," 102,175 ",
Pyrenees (S),Victoria,Inner Regional Australia,>95%,94.8%," 6,297 ",
Queenscliffe (B),Victoria,Inner Regional Australia,>95%,>95%," 2,610 ",
South Gippsland (S),Victoria,Inner Regional Australia,>95%,>95%," 24,475 ",
Southern Grampians (S),Victoria,Inner Regional Australia,>95%,>95%," 13,285 ",
Stonnington (C),Victoria,Major Cities of Australia,82.3%,80.2%," 103,900 ",
Strathbogie (S),Victoria,Inner Regional Australia,>95%,>95%," 9,174 ",
Surf Coast (S),Victoria,Inner Regional Australia,>95%,>95%," 26,584 ",
Swan Hill (RC),Victoria,Outer Regional Australia,>95%,>95%," 16,639 ",
Towong (S),Victoria,Outer Regional Australia,>95%,>95%," 5,068 ",
Wangaratta (RC),Victoria,Inner Regional Australia,>95%,>95%," 23,818 ",
Warrnambool (C),Victoria,Inner Regional Australia,>95%,>95%," 28,859 ",
Wellington (S),Victoria,Inner Regional Australia,>95%,>95%," 36,486 ",
West Wimmera (S),Victoria,Outer Regional Australia,>95%,93.9%," 3,178 ",
Whitehorse (C),Victoria,Major Cities of Australia,92.3%,89.5%," 149,611 ",
Whittlesea (C),Victoria,Major Cities of Australia,93.0%,88.1%," 180,925 ",
Wodonga (C),Victoria,Inner Regional Australia,>95%,>95%," 33,295 ",
Wyndham (C),Victoria,Major Cities of Australia,>95%,>95%," 201,181 ",
Yarra (C),Victoria,Major Cities of Australia,77.4%,75.3%," 90,535 ",
Yarra Ranges (S),Victoria,Major Cities of Australia,>95%,91.7%," 129,169 ",
Yarriambiack (S),Victoria,Outer Regional Australia,>95%,>95%," 5,517 ",
Unincorporated Vic,Victoria,Outer Regional Australia,46.4%,43.8%, 768 ,
Aurukun (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,015 ",
Balonne (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,368 ",
Banana (S),Queensland,Outer Regional Australia,76.6%,62.2%," 11,003 ",
Barcaldine (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,254 ",
Barcoo (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 230 ,
Blackall-Tambo (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,476 ",
Boulia (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 336 ,
Brisbane (C),Queensland,Major Cities of Australia,87.2%,79.4%," 1,033,592 ",
Bulloo (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 272 ,
Bundaberg (R),Queensland,Inner Regional Australia,88.5%,74.2%," 79,061 ",
Burdekin (S),Queensland,Outer Regional Australia,85.9%,70.3%," 14,053 ",
Burke (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 289 ,
Cairns (R),Queensland,Outer Regional Australia,85.9%,73.3%," 133,038 ",
Carpentaria (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,547 ",
Cassowary Coast (R),Queensland,Outer Regional Australia,83.0%,68.1%," 24,343 ",
Central Highlands (R) (Qld),Queensland,Outer Regional Australia,75.1%,58.0%," 21,430 ",
Charters Towers (R),Queensland,Outer Regional Australia,73.5%,55.9%," 9,384 ",
Cherbourg (S),Queensland,Inner Regional Australia,57.4%,33.3%, 841 ,
Cloncurry (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,437 ",
Cook (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,640 ",
Croydon (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 216 ,
Diamantina (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 252 ,
Doomadgee (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 922 ,
Douglas (S),Queensland,Outer Regional Australia,83.6%,71.7%," 10,354 ",
Etheridge (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 616 ,
Flinders (S) (Qld),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,209 ",
Fraser Coast (R),Queensland,Inner Regional Australia,89.4%,76.5%," 88,940 ",
Gladstone (R),Queensland,Inner Regional Australia,82.4%,65.3%," 48,845 ",
Gold Coast (C),Queensland,Major Cities of Australia,84.1%,72.9%," 507,632 ",
Goondiwindi (R),Queensland,Outer Regional Australia,>95%,87.5%," 8,385 ",
Gympie (R),Queensland,Inner Regional Australia,80.1%,67.1%," 42,934 ",
Hinchinbrook (S),Queensland,Outer Regional Australia,90.2%,79.3%," 9,092 ",
Hope Vale (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A, 783 ,
Ipswich (C),Queensland,Major Cities of Australia,85.2%,72.0%," 169,205 ",
Isaac (R),Queensland,Outer Regional Australia,62.8%,45.8%," 15,572 ",
Kowanyama (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 710 ,
Livingstone (S),Queensland,Inner Regional Australia,80.0%,66.2%," 30,952 ",
Lockhart River (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 560 ,
Lockyer Valley (R),Queensland,Inner Regional Australia,79.4%,65.8%," 33,721 ",
Logan (C),Queensland,Major Cities of Australia,83.2%,68.6%," 257,354 ",
Longreach (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,855 ",
Mackay (R),Queensland,Inner Regional Australia,86.4%,69.5%," 92,238 ",
McKinlay (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 646 ,
Mapoon (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 252 ,
Maranoa (R),Queensland,Outer Regional Australia,86.0%,74.4%," 9,851 ",
Mareeba (S),Queensland,Outer Regional Australia,73.3%,60.1%," 18,704 ",
Moreton Bay (R),Queensland,Major Cities of Australia,89.2%,77.8%," 372,012 ",
Mornington (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 875 ,
Mount Isa (C),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 14,035 ",
Murweh (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,371 ",
Napranum (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 728 ,
Noosa (S),Queensland,Major Cities of Australia,89.9%,79.0%," 47,060 ",
North Burnett (R),Queensland,Outer Regional Australia,77.9%,65.6%," 8,782 ",
Northern Peninsula Area (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,018 ",
Palm Island (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,828 ",
Paroo (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,254 ",
Pormpuraaw (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 581 ,
Quilpie (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 582 ,
Redland (C),Queensland,Major Cities of Australia,91.9%,80.8%," 128,912 ",
Richmond (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 627 ,
Rockhampton (R),Queensland,Inner Regional Australia,82.1%,66.4%," 64,482 ",
Scenic Rim (R),Queensland,Inner Regional Australia,82.5%,69.9%," 35,027 ",
Somerset (R),Queensland,Inner Regional Australia,83.0%,69.6%," 20,963 ",
South Burnett (R),Queensland,Inner Regional Australia,84.2%,67.6%," 26,417 ",
Southern Downs (R),Queensland,Inner Regional Australia,89.3%,72.0%," 28,960 ",
Sunshine Coast (R),Queensland,Major Cities of Australia,88.6%,77.5%," 268,741 ",
Tablelands (R),Queensland,Outer Regional Australia,82.1%,69.8%," 20,959 ",
Toowoomba (R),Queensland,Inner Regional Australia,89.0%,76.3%," 134,800 ",
Torres (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,882 ",
Torres Strait Island (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,436 ",
Townsville (C),Queensland,Outer Regional Australia,83.1%,71.4%," 156,137 ",
Weipa (T),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,180 ",
Western Downs (R),Queensland,Outer Regional Australia,83.0%,68.0%," 26,827 ",
Whitsunday (R),Queensland,Outer Regional Australia,82.1%,64.4%," 29,012 ",
Winton (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 967 ,
Woorabinda (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A, 679 ,
Wujal Wujal (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A, 229 ,
Yarrabah (S),Queensland,Outer Regional Australia,60.2%,38.1%," 1,919 ",
Adelaide (C),South Australia,Major Cities of Australia,89.9%,81.1%," 24,015 ",
Adelaide Hills (DC),South Australia,Major Cities of Australia,>95%,87.9%," 32,450 ",
Adelaide Plains (DC),South Australia,Inner Regional Australia,77.6%,64.3%," 7,450 ",
Alexandrina (DC),South Australia,Inner Regional Australia,87.2%,78.1%," 23,281 ",
Anangu Pitjantjatjara (AC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,947 ",
Barossa (DC),South Australia,Inner Regional Australia,90.7%,81.5%," 20,392 ",
Barunga West (DC),South Australia,Outer Regional Australia,85.0%,77.5%," 2,207 ",
Berri and Barmera (DC),South Australia,Outer Regional Australia,91.3%,78.2%," 8,879 ",
Burnside (C),South Australia,Major Cities of Australia,>95%,90.8%," 37,949 ",
Campbelltown (C) (SA),South Australia,Major Cities of Australia,91.3%,81.4%," 43,509 ",
Ceduna (DC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,730 ",
Charles Sturt (C),South Australia,Major Cities of Australia,85.8%,75.4%," 100,321 ",
Clare and Gilbert Valleys (DC),South Australia,Inner Regional Australia,88.8%,79.8%," 7,775 ",
Cleve (DC),South Australia,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,443 ",
Coober Pedy (DC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,512 ",
Copper Coast (DC),South Australia,Outer Regional Australia,88.5%,77.9%," 12,687 ",
Elliston (DC),South Australia,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 805 ,
